name,domain,company_phone,linkedin_url,country,industry,employee_range,revenue_range
1000 Angels,1000angels.com,6465354181,http://www.linkedin.com/company/1000-angels,United States,Financial Services,1 - 10,upto - 5M
1000Bulbscom,1000bulbs.com,8006244488,http://www.linkedin.com/company/1000bulbs-com,United States,business supplies and equipment,51 - 200,10M - 50M
